movieId,title,genres,avg_rating,mood_category,mood_input,energy,company,length_pref,language_pref,industry
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,2.83,Happy,Neutral,Medium,Friends,Short (<90 min),Non-English,Hollywood
94,Beautiful Girls (1996),Comedy|Drama|Romance,3.95,Happy,Happy,High,Friends,Long (>120 min),English,Hollywood
95,Broken Arrow (1996),Action|Adventure|Thriller,3.02,Thrilled,Excited,High,Partner,Long (>120 min),Any,Hollywood
96,In the Bleak Midwinter (1995),Comedy|Drama,3.5,Happy,Neutral,High,Friends,Short (<90 min),Any,Hollywood
97,"Hate (Haine, La) (1995)",Crime|Drama,3.9,Dreamy,Sad,Medium,Partner,Any,Any,Hollywood
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,5.0,Thoughtful,Chill,Low,Solo,Long (>120 min),Any,Hollywood
100,City Hall (1996),Drama|Thriller,2.79,Dreamy,Sad,Low,Partner,Long (>120 min),Any,Hollywood
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.78,Happy,Neutral,High,Friends,Short (<90 min),Non-English,Hollywood
102,Mr. Wrong (1996),Comedy,2.4,Happy,Happy,Medium,Solo,Any,Non-English,Hollywood
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,3.0,Thrilled,Excited,Hyper,Solo,Any,English,Hollywood
104,Happy Gilmore (1996),Comedy,3.44,Happy,Neutral,Medium,Friends,Any,Non-English,Hollywood
105,"Bridges of Madison County, The (1995)",Drama|Romance,3.28,Dreamy,Chill,Low,Partner,Long (>120 min),English,Hollywood
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,4.0,Happy,Happy,High,Friends,Long (>120 min),Non-English,Hollywood
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,3.33,Happy,Happy,Medium,Partner,Any,English,Hollywood
108,Catwalk (1996),Documentary,4.0,Thoughtful,Sad,Exhausted,Friends,Any,Any,Hollywood
110,Braveheart (1995),Action|Drama|War,4.03,Thrilled,Excited,Hyper,Family,Any,English,Hollywood
111,Taxi Driver (1976),Crime|Drama|Thriller,4.11,Dreamy,Sad,Medium,Family,Any,Any,Hollywood
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,3.54,Happy,Happy,Medium,Solo,Short (<90 min),Any,Hollywood
113,Before and After (1996),Drama|Mystery,3.33,Dreamy,Sad,Medium,Family,Long (>120 min),Non-English,Hollywood
116,Anne Frank Remembered (1995),Documentary,3.9,Thoughtful,Neutral,Low,Friends,Any,English,Hollywood
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,3.0,Dreamy,Sad,Low,Family,Long (>120 min),English,Hollywood
118,If Lucy Fell (1996),Comedy|Romance,2.5,Happy,Neutral,Medium,Friends,Short (<90 min),English,Hollywood
119,"Steal Big, Steal Little (1995)",Comedy,3.0,Happy,Happy,High,Friends,Any,Non-English,Hollywood
121,"Boys of St. Vincent, The (1992)",Drama,4.0,Dreamy,Chill,Low,Friends,Long (>120 min),Any,Hollywood
122,Boomerang (1992),Comedy|Romance,2.66,Happy,Neutral,High,Family,Any,Any,Hollywood
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,4.38,Dreamy,Sad,Medium,Family,Short (<90 min),Any,Hollywood
125,Flirting With Disaster (1996),Comedy,3.58,Happy,Happy,Medium,Family,Any,Non-English,Hollywood
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,2.0,Thrilled,Happy,High,Partner,Any,Non-English,Hollywood
128,Jupiter's Wife (1994),Documentary,3.0,Thoughtful,Neutral,Low,Solo,Short (<90 min),Non-English,Hollywood
129,Pie in the Sky (1996),Comedy|Romance,2.0,Happy,Happy,Medium,Solo,Any,Non-English,Hollywood
132,Jade (1995),Thriller,2.83,Scared,Neutral,High,Solo,Short (<90 min),Any,Hollywood
135,Down Periscope (1996),Comedy,2.95,Happy,Happy,High,Partner,Short (<90 min),Non-English,Hollywood
137,Man of the Year (1995),Documentary,3.0,Thoughtful,Chill,Exhausted,Friends,Any,Any,Hollywood
140,Up Close and Personal (1996),Drama|Romance,3.5,Dreamy,Sad,Medium,Solo,Long (>120 min),Any,Hollywood
141,"Birdcage, The (1996)",Comedy,3.49,Happy,Happy,Medium,Partner,Any,Non-English,Hollywood
144,"Brothers McMullen, The (1995)",Comedy,3.33,Happy,Happy,Medium,Solo,Long (>120 min),Any,Hollywood
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,3.25,Happy,Neutral,High,Partner,Long (>120 min),English,Hollywood
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,3.33,Thrilled,Excited,Hyper,Partner,Any,Any,Hollywood
147,"Basketball Diaries, The (1995)",Drama,3.47,Dreamy,Chill,Low,Partner,Any,Any,Hollywood
148,"Awfully Big Adventure, An (1995)",Drama,5.0,Dreamy,Sad,Medium,Family,Any,Any,Hollywood
149,Amateur (1994),Crime|Drama|Thriller,2.0,Dreamy,Chill,Medium,Friends,Long (>120 min),Non-English,Hollywood
150,Apollo 13 (1995),Adventure|Drama|IMAX,3.85,Thrilled,Excited,Hyper,Solo,Any,Any,Hollywood
151,Rob Roy (1995),Action|Drama|Romance|War,3.55,Thrilled,Happy,High,Partner,Long (>120 min),Any,Hollywood
152,"Addiction, The (1995)",Drama|Horror,1.5,Dreamy,Sad,Medium,Family,Any,Any,Hollywood
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,2.92,Happy,Happy,High,Partner,Any,English,Hollywood
154,Beauty of the Day (Belle de jour) (1967),Drama,3.88,Dreamy,Chill,Medium,Solo,Short (<90 min),Any,Hollywood
155,Beyond Rangoon (1995),Adventure|Drama|War,2.42,Thrilled,Happy,High,Friends,Short (<90 min),English,Hollywood
156,Blue in the Face (1995),Comedy|Drama,3.33,Happy,Neutral,High,Solo,Short (<90 min),English,Hollywood
157,Canadian Bacon (1995),Comedy|War,2.86,Happy,Happy,High,Family,Short (<90 min),Any,Hollywood
158,Casper (1995),Adventure|Children,2.81,Thrilled,Excited,High,Friends,Short (<90 min),Any,Hollywood
159,Clockers (1995),Crime|Drama|Mystery,2.89,Dreamy,Chill,Low,Friends,Short (<90 min),Non-English,Hollywood
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.88,Thrilled,Excited,Hyper,Partner,Long (>120 min),English,Hollywood
161,Crimson Tide (1995),Drama|Thriller|War,3.64,Dreamy,Chill,Low,Family,Any,Any,Hollywood
162,Crumb (1994),Documentary,4.21,Thoughtful,Chill,Low,Partner,Long (>120 min),Any,Hollywood
163,Desperado (1995),Action|Romance|Western,3.56,Thrilled,Happy,High,Friends,Short (<90 min),Any,Hollywood
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,3.32,Scared,Excited,Hyper,Partner,Short (<90 min),English,Hollywood
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,3.56,Thrilled,Excited,Hyper,Family,Any,English,Hollywood
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,2.83,Happy,Happy,Medium,Friends,Short (<90 min),English,Hollywood
168,First Knight (1995),Action|Drama|Romance,3.08,Thrilled,Happy,Hyper,Partner,Short (<90 min),Non-English,Hollywood
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,2.4,Thrilled,Excited,Hyper,Partner,Long (>120 min),English,Hollywood
170,Hackers (1995),Action|Adventure|Crime|Thriller,3.23,Thrilled,Happy,High,Friends,Any,Non-English,Hollywood
171,Jeffrey (1995),Comedy|Drama,3.83,Happy,Neutral,High,Family,Long (>120 min),English,Hollywood
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,2.68,Thrilled,Excited,Hyper,Solo,Any,English,Hollywood
173,Judge Dredd (1995),Action|Crime|Sci-Fi,2.67,Thrilled,Excited,High,Solo,Any,Any,Hollywood
174,Jury Duty (1995),Comedy,2.7,Happy,Neutral,Medium,Friends,Long (>120 min),Non-English,Hollywood
175,Kids (1995),Drama,3.98,Dreamy,Sad,Medium,Solo,Short (<90 min),Non-English,Hollywood
176,Living in Oblivion (1995),Comedy,4.31,Happy,Neutral,High,Partner,Long (>120 min),English,Hollywood
177,Lord of Illusions (1995),Horror,2.75,Scared,Neutral,Hyper,Solo,Short (<90 min),Non-English,Hollywood
178,Love & Human Remains (1993),Comedy|Drama,1.0,Happy,Neutral,High,Partner,Long (>120 min),Non-English,Hollywood
179,Mad Love (1995),Drama|Romance,1.5,Dreamy,Chill,Medium,Friends,Long (>120 min),English,Hollywood
180,Mallrats (1995),Comedy|Romance,3.4,Happy,Happy,High,Solo,Any,Any,Hollywood
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,2.26,Thrilled,Excited,Hyper,Solo,Long (>120 min),English,Hollywood
183,Mute Witness (1994),Comedy|Horror|Thriller,3.5,Happy,Happy,High,Family,Short (<90 min),Non-English,Hollywood
184,Nadja (1994),Drama,3.5,Dreamy,Sad,Medium,Solo,Any,Non-English,Hollywood
185,"Net, The (1995)",Action|Crime|Thriller,3.04,Thrilled,Excited,Hyper,Partner,Long (>120 min),Non-English,Hollywood
186,Nine Months (1995),Comedy|Romance,2.82,Happy,Happy,Medium,Friends,Short (<90 min),Non-English,Hollywood
187,Party Girl (1995),Comedy,4.12,Happy,Happy,Medium,Friends,Long (>120 min),Any,Hollywood
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,3.46,Scared,Excited,Hyper,Solo,Any,English,Hollywood
189,Reckless (1995),Comedy|Fantasy,3.0,Happy,Happy,Medium,Friends,Long (>120 min),Any,Hollywood
190,Safe (1995),Thriller,2.8,Scared,Excited,High,Family,Short (<90 min),English,Hollywood
191,"Scarlet Letter, The (1995)",Drama|Romance,2.42,Dreamy,Chill,Medium,Solo,Long (>120 min),Non-English,Hollywood
193,Showgirls (1995),Drama,2.47,Dreamy,Chill,Low,Solo,Any,English,Hollywood
194,Smoke (1995),Comedy|Drama,3.67,Happy,Happy,High,Solo,Long (>120 min),Any,Hollywood
195,Something to Talk About (1995),Comedy|Drama|Romance,3.1,Happy,Neutral,Medium,Family,Long (>120 min),English,Hollywood
196,Species (1995),Horror|Sci-Fi,2.67,Thrilled,Excited,Hyper,Partner,Any,Any,Hollywood
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,3.25,Thrilled,Excited,High,Partner,Short (<90 min),English,Hollywood
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,4.12,Happy,Neutral,High,Solo,Long (>120 min),English,Hollywood
201,Three Wishes (1995),Drama|Fantasy,3.0,Dreamy,Sad,Low,Friends,Short (<90 min),Any,Hollywood
202,Total Eclipse (1995),Drama|Romance,3.0,Dreamy,Chill,Medium,Family,Any,Non-English,Hollywood
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,3.43,Happy,Happy,Medium,Family,Short (<90 min),Non-English,Hollywood
204,Under Siege 2: Dark Territory (1995),Action,2.72,Thrilled,Happy,Hyper,Solo,Long (>120 min),Any,Hollywood
205,Unstrung Heroes (1995),Comedy|Drama,3.17,Happy,Happy,High,Solo,Long (>120 min),Any,Hollywood
206,Unzipped (1995),Documentary,3.0,Thoughtful,Neutral,Exhausted,Solo,Long (>120 min),Any,Hollywood
207,"Walk in the Clouds, A (1995)",Drama|Romance,3.43,Dreamy,Sad,Low,Partner,Short (<90 min),Any,Hollywood
208,Waterworld (1995),Action|Adventure|Sci-Fi,2.91,Thrilled,Excited,High,Partner,Any,English,Hollywood
209,White Man's Burden (1995),Drama,3.17,Dreamy,Chill,Medium,Partner,Long (>120 min),Non-English,Hollywood
210,Wild Bill (1995),Western,3.0,Happy,Happy,Medium,Family,Any,Any,Hollywood
211,"Browning Version, The (1994)",Drama,3.5,Dreamy,Sad,Medium,Solo,Short (<90 min),Any,Hollywood
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,3.0,Happy,Neutral,Medium,Solo,Long (>120 min),Non-English,Hollywood
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,3.83,Dreamy,Sad,Medium,Solo,Short (<90 min),Any,Hollywood
214,Before the Rain (Pred dozhdot) (1994),Drama|War,4.0,Dreamy,Sad,Medium,Partner,Short (<90 min),Non-English,Hollywood
215,Before Sunrise (1995),Drama|Romance,4.04,Dreamy,Sad,Medium,Partner,Short (<90 min),English,Hollywood
216,Billy Madison (1995),Comedy,3.33,Happy,Happy,Medium,Partner,Any,English,Hollywood
217,"Babysitter, The (1995)",Drama|Thriller,2.33,Dreamy,Chill,Low,Family,Long (>120 min),Non-English,Hollywood
218,Boys on the Side (1995),Comedy|Drama,3.43,Happy,Happy,Medium,Solo,Any,Non-English,Hollywood
219,"Cure, The (1995)",Drama,3.0,Dreamy,Sad,Low,Friends,Short (<90 min),English,Hollywood
220,Castle Freak (1995),Horror,3.0,Scared,Neutral,High,Solo,Short (<90 min),Any,Hollywood
222,Circle of Friends (1995),Drama|Romance,3.75,Dreamy,Chill,Medium,Partner,Any,English,Hollywood
223,Clerks (1994),Comedy,3.86,Happy,Happy,Medium,Solo,Long (>120 min),Any,Hollywood
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,3.61,Happy,Happy,Medium,Friends,Long (>120 min),Any,Hollywood
225,Disclosure (1994),Drama|Thriller,3.54,Dreamy,Chill,Low,Friends,Any,Non-English,Hollywood
227,Drop Zone (1994),Action|Thriller,2.86,Thrilled,Happy,Hyper,Solo,Long (>120 min),English,Hollywood
228,Destiny Turns on the Radio (1995),Comedy,2.33,Happy,Happy,High,Family,Any,Any,Hollywood
229,Death and the Maiden (1994),Drama|Thriller,3.43,Dreamy,Sad,Low,Family,Short (<90 min),Any,Hollywood
230,Dolores Claiborne (1995),Drama|Thriller,3.4,Dreamy,Chill,Medium,Family,Long (>120 min),English,Hollywood
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,3.06,Happy,Neutral,Medium,Friends,Any,Any,Hollywood
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,3.89,Happy,Neutral,Medium,Partner,Any,Non-English,Hollywood
233,Exotica (1994),Drama,3.5,Dreamy,Chill,Low,Friends,Short (<90 min),Non-English,Hollywood
234,Exit to Eden (1994),Comedy,2.59,Happy,Happy,Medium,Friends,Short (<90 min),English,Hollywood
235,Ed Wood (1994),Comedy|Drama,3.68,Happy,Neutral,Medium,Family,Long (>120 min),English,Hollywood
236,French Kiss (1995),Action|Comedy|Romance,3.48,Happy,Happy,Medium,Solo,Any,Any,Hollywood
237,Forget Paris (1995),Comedy|Romance,3.34,Happy,Happy,Medium,Friends,Short (<90 min),English,Hollywood
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,4.0,Thrilled,Excited,High,Partner,Any,Any,Hollywood
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,3.0,Happy,Happy,Medium,Partner,Long (>120 min),Any,Hollywood
240,Hideaway (1995),Thriller,2.38,Scared,Excited,High,Family,Any,Any,Hollywood
241,Fluke (1995),Children|Drama,4.0,Dreamy,Chill,Medium,Family,Long (>120 min),English,Hollywood
242,Farinelli: il castrato (1994),Drama|Musical,3.6,Happy,Neutral,Medium,Partner,Long (>120 min),Non-English,Hollywood
243,Gordy (1995),Children|Comedy|Fantasy,3.0,Happy,Neutral,High,Friends,Long (>120 min),Non-English,Hollywood
246,Hoop Dreams (1994),Documentary,4.29,Thoughtful,Neutral,Low,Family,Any,English,Hollywood
247,Heavenly Creatures (1994),Crime|Drama,3.93,Dreamy,Chill,Low,Solo,Long (>120 min),Non-English,Hollywood
248,Houseguest (1994),Comedy,3.18,Happy,Neutral,Medium,Solo,Short (<90 min),English,Hollywood
249,Immortal Beloved (1994),Drama|Romance,3.72,Dreamy,Chill,Medium,Solo,Any,English,Hollywood
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,2.5,Happy,Happy,High,Friends,Short (<90 min),English,Hollywood
251,"Hunted, The (1995)",Action,3.0,Thrilled,Happy,Hyper,Partner,Long (>120 min),Non-English,Hollywood
252,I.Q. (1994),Comedy|Romance,3.45,Happy,Happy,Medium,Solo,Any,Any,Hollywood
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,3.46,Dreamy,Sad,Low,Friends,Any,English,Hollywood
254,Jefferson in Paris (1995),Drama,3.0,Dreamy,Sad,Medium,Family,Any,Non-English,Hollywood
255,"Jerky Boys, The (1995)",Comedy,2.07,Happy,Neutral,High,Partner,Long (>120 min),Any,Hollywood
256,Junior (1994),Comedy|Sci-Fi,2.83,Happy,Neutral,Medium,Friends,Long (>120 min),English,Hollywood
257,Just Cause (1995),Mystery|Thriller,3.5,Scared,Neutral,Hyper,Family,Any,Non-English,Hollywood
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,2.6,Happy,Neutral,Medium,Partner,Any,Non-English,Hollywood
259,Kiss of Death (1995),Crime|Drama|Thriller,3.2,Dreamy,Chill,Low,Friends,Long (>120 min),Any,Hollywood
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,4.23,Thrilled,Excited,High,Partner,Any,English,Hollywood
261,Little Women (1994),Drama,3.88,Dreamy,Sad,Low,Friends,Any,Non-English,Hollywood
262,"Little Princess, A (1995)",Children|Drama,3.9,Dreamy,Chill,Low,Family,Short (<90 min),Non-English,Hollywood
263,Ladybird Ladybird (1994),Drama,4.0,Dreamy,Chill,Low,Solo,Short (<90 min),Non-English,Hollywood
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,3.94,Dreamy,Chill,Low,Family,Long (>120 min),Any,Hollywood
266,Legends of the Fall (1994),Drama|Romance|War|Western,3.4,Dreamy,Sad,Medium,Family,Long (>120 min),English,Hollywood
267,Major Payne (1995),Comedy,2.94,Happy,Happy,High,Partner,Any,English,Hollywood
